id	status	created	payload	progress	created_by_type	created_by_id	claim_session_id	claim_instance_id	num_runs	last_run	job_type	hex_payload	hex_progress
100	running	2023-06-09 00:16:04.219552	NULL	NULL	NULL	NULL	\x010180f454cbfd5b7e4f42a0d71c5c33c4ba5d	1	1	2023-06-09 00:16:38.185486	KEY VISUALIZER	NULL	NULL
101	running	2023-06-09 00:16:04.303624	NULL	NULL	root	1	\x010180f454cbfd5b7e4f42a0d71c5c33c4ba5d	1	1	2023-06-09 00:16:38.185527	POLL JOBS STATS	NULL	NULL
102	running	2023-06-09 00:16:04.382817	NULL	NULL	NULL	NULL	\x010180f454cbfd5b7e4f42a0d71c5c33c4ba5d	1	1	2023-06-09 00:16:04.413262	AUTO CONFIG RUNNER	NULL	NULL
103	running	2023-06-09 00:16:04.569394	NULL	NULL	NULL	NULL	\x010180f454cbfd5b7e4f42a0d71c5c33c4ba5d	1	1	2023-06-09 00:16:38.184424	AUTO UPDATE SQL ACTIVITY	NULL	NULL
872282074347962369	running	2023-06-09 00:16:03.509523	NULL	NULL	NULL	NULL	\x010180f454cbfd5b7e4f42a0d71c5c33c4ba5d	1	1	2023-06-09 00:16:03.568023	AUTO SPAN CONFIG RECONCILIATION	NULL	NULL
872282074394460161	succeeded	2023-06-09 00:16:03.523708	NULL	NULL	NULL	NULL	\x010180f454cbfd5b7e4f42a0d71c5c33c4ba5d	1	1	2023-06-09 00:16:03.579117	MIGRATION	NULL	NULL
872282074799144961	succeeded	2023-06-09 00:16:03.647202	NULL	NULL	NULL	NULL	\x010180f454cbfd5b7e4f42a0d71c5c33c4ba5d	1	1	2023-06-09 00:16:03.687376	MIGRATION	NULL	NULL
872282075065450497	succeeded	2023-06-09 00:16:03.728472	NULL	NULL	NULL	NULL	\x010180f454cbfd5b7e4f42a0d71c5c33c4ba5d	1	1	2023-06-09 00:16:03.768654	MIGRATION	NULL	NULL
872282075346141185	succeeded	2023-06-09 00:16:03.814135	NULL	NULL	NULL	NULL	\x010180f454cbfd5b7e4f42a0d71c5c33c4ba5d	1	1	2023-06-09 00:16:03.85303	MIGRATION	NULL	NULL
872282075596324865	succeeded	2023-06-09 00:16:03.890488	NULL	NULL	NULL	NULL	\x010180f454cbfd5b7e4f42a0d71c5c33c4ba5d	1	1	2023-06-09 00:16:03.929652	MIGRATION	NULL	NULL
872282075901460481	succeeded	2023-06-09 00:16:03.983605	NULL	NULL	NULL	NULL	\x010180f454cbfd5b7e4f42a0d71c5c33c4ba5d	1	1	2023-06-09 00:16:04.022955	MIGRATION	NULL	NULL
872282076227731457	succeeded	2023-06-09 00:16:04.083179	NULL	NULL	NULL	NULL	\x010180f454cbfd5b7e4f42a0d71c5c33c4ba5d	1	1	2023-06-09 00:16:04.128471	MIGRATION	NULL	NULL
872282076498395137	succeeded	2023-06-09 00:16:04.165776	NULL	NULL	NULL	NULL	\x010180f454cbfd5b7e4f42a0d71c5c33c4ba5d	1	1	2023-06-09 00:16:04.206519	MIGRATION	NULL	NULL
872282076789047297	succeeded	2023-06-09 00:16:04.254476	NULL	NULL	NULL	NULL	\x010180f454cbfd5b7e4f42a0d71c5c33c4ba5d	1	1	2023-06-09 00:16:04.295388	MIGRATION	NULL	NULL
872282077051289601	succeeded	2023-06-09 00:16:04.334506	NULL	NULL	NULL	NULL	\x010180f454cbfd5b7e4f42a0d71c5c33c4ba5d	1	1	2023-06-09 00:16:04.374708	MIGRATION	NULL	NULL
872282077334044673	succeeded	2023-06-09 00:16:04.420792	NULL	NULL	NULL	NULL	\x010180f454cbfd5b7e4f42a0d71c5c33c4ba5d	1	1	2023-06-09 00:16:04.466678	MIGRATION	NULL	NULL
872282077654515713	succeeded	2023-06-09 00:16:04.518592	NULL	NULL	NULL	NULL	\x010180f454cbfd5b7e4f42a0d71c5c33c4ba5d	1	1	2023-06-09 00:16:04.559792	MIGRATION	NULL	NULL
872282192874536961	succeeded	2023-06-09 00:16:39.674279	NULL	NULL	NULL	NULL	\x010180f454cbfd5b7e4f42a0d71c5c33c4ba5d	1	1	2023-06-09 00:16:39.709865	IMPORT	NULL	NULL
872282192876109825	succeeded	2023-06-09 00:16:39.67555	NULL	NULL	NULL	NULL	\x010180f454cbfd5b7e4f42a0d71c5c33c4ba5d	1	1	2023-06-09 00:16:39.708687	IMPORT	NULL	NULL
872282192876404737	succeeded	2023-06-09 00:16:39.675654	NULL	NULL	NULL	NULL	\x010180f454cbfd5b7e4f42a0d71c5c33c4ba5d	1	1	2023-06-09 00:16:39.708539	IMPORT	NULL	NULL
872282192876535809	succeeded	2023-06-09 00:16:39.675774	NULL	NULL	NULL	NULL	\x010180f454cbfd5b7e4f42a0d71c5c33c4ba5d	1	1	2023-06-09 00:16:39.709862	IMPORT	NULL	NULL
872282192876601345	succeeded	2023-06-09 00:16:39.675582	NULL	NULL	NULL	NULL	\x010180f454cbfd5b7e4f42a0d71c5c33c4ba5d	1	1	2023-06-09 00:16:39.708604	IMPORT	NULL	NULL
872282192887611393	succeeded	2023-06-09 00:16:39.675727	NULL	NULL	NULL	NULL	\x010180f454cbfd5b7e4f42a0d71c5c33c4ba5d	1	1	2023-06-09 00:16:39.716554	IMPORT	NULL	NULL
872282195104432129	succeeded	2023-06-09 00:16:40.355557	NULL	NULL	NULL	NULL	\x010180f454cbfd5b7e4f42a0d71c5c33c4ba5d	1	1	2023-06-09 00:16:40.397076	NEW SCHEMA CHANGE	NULL	NULL
872282195478183937	succeeded	2023-06-09 00:16:40.469452	NULL	NULL	NULL	NULL	\x010180f454cbfd5b7e4f42a0d71c5c33c4ba5d	1	1	2023-06-09 00:16:40.511376	NEW SCHEMA CHANGE	NULL	NULL
872282195863175169	succeeded	2023-06-09 00:16:40.586637	NULL	NULL	NULL	NULL	\x010180f454cbfd5b7e4f42a0d71c5c33c4ba5d	1	1	2023-06-09 00:16:40.63146	NEW SCHEMA CHANGE	NULL	NULL
