timestamp,rangeID,storeID,eventType,otherRangeID,info,uniqueID
2022-09-03 22:39:04.779872,180428,7,split,183674,"{""UpdatedDesc"":{""range_id"":180428,""start_key"":""9nKJ9wLMjYbSgpY="",""end_key"":""9nKJ9wLMkYYl3JA="",""internal_replicas"":[{""node_id"":7,""store_id"":7,""replica_id"":1},{""node_id"":5,""store_id"":5,""replica_id"":2},{""node_id"":2,""store_id"":2,""replica_id"":3}],""next_replica_id"":4,""generation"":60},""NewDesc"":{""range_id"":183674,""start_key"":""9nKJ9wLMkYYl3JA="",""end_key"":""9nKJ9wLNioaoiJA="",""internal_replicas"":[{""node_id"":7,""store_id"":7,""replica_id"":1},{""node_id"":5,""store_id"":5,""replica_id"":2},{""node_id"":2,""store_id"":2,""replica_id"":3}],""next_replica_id"":4,""generation"":60}}",793556893037690887
2022-09-03 22:50:14.544269,181719,3,split,183816,"{""UpdatedDesc"":{""range_id"":181719,""start_key"":""9nKJ9wHWkYbufIs="",""end_key"":""9nKJ9wHXi4ZAoo8="",""internal_replicas"":[{""node_id"":9,""store_id"":9,""replica_id"":1},{""node_id"":3,""store_id"":3,""replica_id"":2},{""node_id"":6,""store_id"":6,""replica_id"":3}],""next_replica_id"":4,""generation"":57},""NewDesc"":{""range_id"":183816,""start_key"":""9nKJ9wHXi4ZAoo8="",""end_key"":""9nKJ9wHXjobmlok="",""internal_replicas"":[{""node_id"":9,""store_id"":9,""replica_id"":1},{""node_id"":3,""store_id"":3,""replica_id"":2},{""node_id"":6,""store_id"":6,""replica_id"":3}],""next_replica_id"":4,""generation"":57}}",793559087705686019
2022-09-03 23:37:42.236905,180541,8,split,183905,"{""UpdatedDesc"":{""range_id"":180541,""start_key"":""9nKJ9wIGi4bxT4k="",""end_key"":""9nKJ9wIGj4Yt/JA="",""internal_replicas"":[{""node_id"":8,""store_id"":8,""replica_id"":1},{""node_id"":1,""store_id"":1,""replica_id"":2},{""node_id"":4,""store_id"":4,""replica_id"":3}],""next_replica_id"":4,""generation"":47},""NewDesc"":{""range_id"":183905,""start_key"":""9nKJ9wIGj4Yt/JA="",""end_key"":""9nKJ9wIGkoa0XJU="",""internal_replicas"":[{""node_id"":8,""store_id"":8,""replica_id"":1},{""node_id"":1,""store_id"":1,""replica_id"":2},{""node_id"":4,""store_id"":4,""replica_id"":3}],""next_replica_id"":4,""generation"":47}}",793568419109961736
2022-09-03 23:51:23.611333,181741,4,split,183786,"{""UpdatedDesc"":{""range_id"":181741,""start_key"":""9nKJ9wIskYblcoo="",""end_key"":""9nKJ9wIti4ZN4Y4="",""internal_replicas"":[{""node_id"":8,""store_id"":8,""replica_id"":1},{""node_id"":1,""store_id"":1,""replica_id"":2},{""node_id"":4,""store_id"":4,""replica_id"":3}],""next_replica_id"":4,""generation"":73},""NewDesc"":{""range_id"":183786,""start_key"":""9nKJ9wIti4ZN4Y4="",""end_key"":""9nKJ9wItjobrHZQ="",""internal_replicas"":[{""node_id"":8,""store_id"":8,""replica_id"":1},{""node_id"":1,""store_id"":1,""replica_id"":2},{""node_id"":4,""store_id"":4,""replica_id"":3}],""next_replica_id"":4,""generation"":73}}",793571110506594308
2022-09-04 00:20:02.531911,4073,3,split,183817,"{""UpdatedDesc"":{""range_id"":4073,""start_key"":""9nKJ9wLij4b+So8="",""end_key"":""9nKJ9wLjiYbirI0="",""internal_replicas"":[{""node_id"":8,""store_id"":8,""replica_id"":1},{""node_id"":3,""store_id"":3,""replica_id"":2},{""node_id"":5,""store_id"":5,""replica_id"":3}],""next_replica_id"":4,""generation"":68,""sticky_bit"":{""wall_time"":1660718518840235177}},""NewDesc"":{""range_id"":183817,""start_key"":""9nKJ9wLjiYbirI0="",""end_key"":""9nKJ9wLjjYa0s5A="",""internal_replicas"":[{""node_id"":8,""store_id"":8,""replica_id"":1},{""node_id"":3,""store_id"":3,""replica_id"":2},{""node_id"":5,""store_id"":5,""replica_id"":3}],""next_replica_id"":4,""generation"":68}}",793576743125123075
2022-09-04 00:33:30.208097,182081,5,split,183896,"{""UpdatedDesc"":{""range_id"":182081,""start_key"":""9nKJ9wH9i4b25JM="",""end_key"":""9nKJ9wH9j4ZGxow="",""internal_replicas"":[{""node_id"":9,""store_id"":9,""replica_id"":1},{""node_id"":3,""store_id"":3,""replica_id"":2},{""node_id"":5,""store_id"":5,""replica_id"":3}],""next_replica_id"":4,""generation"":61},""NewDesc"":{""range_id"":183896,""start_key"":""9nKJ9wH9j4ZGxow="",""end_key"":""9nKJ9wH9kobqOo8="",""internal_replicas"":[{""node_id"":9,""store_id"":9,""replica_id"":1},{""node_id"":3,""store_id"":3,""replica_id"":2},{""node_id"":5,""store_id"":5,""replica_id"":3}],""next_replica_id"":4,""generation"":61}}",793579389719707653
2022-09-04 01:53:54.728686,180560,5,split,183900,"{""UpdatedDesc"":{""range_id"":180560,""start_key"":""9m6K9qGQ2obg8Q=="",""end_key"":""9m6K9qeR9wifhgbx"",""internal_replicas"":[{""node_id"":9,""store_id"":9,""replica_id"":1},{""node_id"":5,""store_id"":5,""replica_id"":2},{""node_id"":3,""store_id"":3,""replica_id"":3}],""next_replica_id"":4,""generation"":117},""NewDesc"":{""range_id"":183900,""start_key"":""9m6K9qeR9wifhgbx"",""end_key"":""9m6K9q6L9wMIhpEZ"",""internal_replicas"":[{""node_id"":9,""store_id"":9,""replica_id"":1},{""node_id"":5,""store_id"":5,""replica_id"":2},{""node_id"":3,""store_id"":3,""replica_id"":3}],""next_replica_id"":4,""generation"":117}}",793595198714544133
2022-09-04 02:07:55.295692,181773,5,split,183902,"{""UpdatedDesc"":{""range_id"":181773,""start_key"":""9nKJ9wGojIaUy4s="",""end_key"":""9nKJ9wGoj4a+C5E="",""internal_replicas"":[{""node_id"":9,""store_id"":9,""replica_id"":1},{""node_id"":3,""store_id"":3,""replica_id"":2},{""node_id"":5,""store_id"":5,""replica_id"":3}],""next_replica_id"":4,""generation"":54},""NewDesc"":{""range_id"":183902,""start_key"":""9nKJ9wGoj4a+C5E="",""end_key"":""9nKJ9wGokobofJE="",""internal_replicas"":[{""node_id"":9,""store_id"":9,""replica_id"":1},{""node_id"":3,""store_id"":3,""replica_id"":2},{""node_id"":5,""store_id"":5,""replica_id"":3}],""next_replica_id"":4,""generation"":54}}",793597953041072133
2022-09-04 04:21:34.151749,4478,5,split,183960,"{""UpdatedDesc"":{""range_id"":4478,""start_key"":""9nKJ9wGskob8/4w="",""end_key"":""9nKJ9wGtjIYgTI0="",""internal_replicas"":[{""node_id"":9,""store_id"":9,""replica_id"":1},{""node_id"":3,""store_id"":3,""replica_id"":2},{""node_id"":5,""store_id"":5,""replica_id"":3}],""next_replica_id"":4,""generation"":60,""sticky_bit"":{""wall_time"":1660718520958738189}},""NewDesc"":{""range_id"":183960,""start_key"":""9nKJ9wGtjIYgTI0="",""end_key"":""9nKJ9wGtj4aIk5E="",""internal_replicas"":[{""node_id"":9,""store_id"":9,""replica_id"":1},{""node_id"":3,""store_id"":3,""replica_id"":2},{""node_id"":5,""store_id"":5,""replica_id"":3}],""next_replica_id"":4,""generation"":60}}",793624229199511557
2022-09-04 04:48:56.840885,180580,6,split,183919,"{""UpdatedDesc"":{""range_id"":180580,""start_key"":""9nKJ9wF0kobTPpI="",""end_key"":""9nKJ9wF1jIYrMY8="",""internal_replicas"":[{""node_id"":9,""store_id"":9,""replica_id"":1},{""node_id"":3,""store_id"":3,""replica_id"":2},{""node_id"":6,""store_id"":6,""replica_id"":3}],""next_replica_id"":4,""generation"":59},""NewDesc"":{""range_id"":183919,""start_key"":""9nKJ9wF1jIYrMY8="",""end_key"":""9nKJ9wF1j4axz4o="",""internal_replicas"":[{""node_id"":9,""store_id"":9,""replica_id"":1},{""node_id"":3,""store_id"":3,""replica_id"":2},{""node_id"":6,""store_id"":6,""replica_id"":3}],""next_replica_id"":4,""generation"":59}}",793629612039143430
